priority,approval_item_id,brand,item_type,source_title,manager_text,suggested_decision,rop_question,bot_permission_after_approval,risk_notes
P1,fact:v2:unpk:legal_entities_full_map_1:846b8d07a4,unpk,program,legal_entities_full_map / 1,name: АНО ДПО «УНПК МФТИ»; license: 70369 от 06.03.2013,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:legal_entities_full_map_2:da9038043e,unpk,program,legal_entities_full_map / 2,name: НОУ УНПК МФТИ,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:legal_entities_full_map_3:02a4392886,foton,program,legal_entities_full_map / 3,name: ООО «ЦДПО Фотон»,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:legal_entities_full_map_4:3e05b813dd,foton,program,legal_entities_full_map / 4,name: ООО «ЦРДО Фотон»,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:cross_brand_handoff_notes_installment_rule:05d6afada8,internal,installment,cross_brand_handoff_notes / installment / rule,"Рассрочка Т-Банк/Долями есть только в Фотоне. Если клиент бота УНПК спросил про рассрочку — бот не упоминает Фотон, а делает handoff менеджеру. Менеджер сам решает, отправлять ли клиента на отдельный диалог с Фотоном (если организационно возможно). Менеджер УНПК не консультирует клиента по условиям Фотона в текущем диалоге.",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_handoff_notes_intensive_rule:2624d94176,internal,program,cross_brand_handoff_notes / intensive / rule,ОГЭ-интенсив есть только в Фотоне (8-9 кл). ЕГЭ-интенсив есть только в УНПК (10-11 кл). Каждый бот говорит только про свой интенсив. На «нет такого продукта» — нейтральный handoff менеджеру без названия другого бренда.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_handoff_notes_matkap_rule:6c4f72f10c,internal,matkap,cross_brand_handoff_notes / matkap / rule,"Маткапитал принимает только УНПК (через АНО ДПО). Бот Фотон при вопросе про маткапитал делает handoff менеджеру, не консультируя по УНПК. Менеджер Фотона может организовать переход на отдельный диалог с УНПК, но это не задача бота.",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:cross_brand_handoff_notes_lvsh_mendeleevo_rule:2caa26668c,internal,documents,cross_brand_handoff_notes / lvsh_mendeleevo / rule,"Юридически договор ЛВШ Менделеево заключается через АНО ДПО УНПК МФТИ. Но фактически ЛВШ как продукт может продаваться обоим брендам (открытый вопрос q1). До решения РОПа — клиенту бота Фотон ЛВШ предлагается как «наш летний продукт», юр.лицо не раскрывается.",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_handoff_notes_shared_address_patsayeva_address:d78efdbb45,internal,location,cross_brand_handoff_notes / shared_address_patsayeva / address,"Долгопрудный, Проспект Пацаева, 7к1",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_handoff_notes_shared_address_patsayeva_rule:9631862362,internal,location,cross_brand_handoff_notes / shared_address_patsayeva / rule,"Этот адрес используется и УНПК, и Фотон. Совпадение адреса не значит, что бренды одно и то же. В клиентском тексте бренд указывается тот, который в active_brand.",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:crm_brand_groups_amo_unpk_funnels_1:bb252630bc,internal,program,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,TODO: список воронок УНПК — уточнить у ИТ,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:crm_brand_groups_amo_foton_funnels_1:0bd84aeb9e,internal,program,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,TODO: список воронок Фотон — уточнить у ИТ,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:crm_brand_groups_amo_rule:2facc33b8e,internal,program,crm_brand_groups / amo / rule,Бот видит только воронку active_brand. История клиента в другой воронке не подмешивается.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:crm_brand_groups_tallanto_unpk_groups_prefix:86a35dd2b9,internal,program,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,TODO: префикс групп УНПК,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:crm_brand_groups_tallanto_foton_groups_prefix:f90d6a2a42,internal,program,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,TODO: префикс групп Фотон,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:crm_brand_groups_tallanto_detection_in_scripts:4b77a8ce22,internal,program,crm_brand_groups / tallanto / detection_in_scripts,"В скрипте обзвонов Насты: 'Если в названии группы стоит (УНПК), то звоним от УНПК. Остальным звоним от ФОТОН.' — но это для звонков, не для бота.",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_1:de4a5986f0,internal,program,high_risk_keywords / always_manager_only / 1,вернуть деньги,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_2:7d99583eef,internal,program,high_risk_keywords / always_manager_only / 2,возврат денег,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_3:1f37bfb221,internal,program,high_risk_keywords / always_manager_only / 3,расторгн,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_4:24fad2f303,internal,program,high_risk_keywords / always_manager_only / 4,забрать деньги,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_5:8bb15698fc,internal,program,high_risk_keywords / always_manager_only / 5,отказ от обучения,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_6:7ffb3e89c6,internal,program,high_risk_keywords / always_manager_only / 6,жалоб,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_7:04a1929c47,internal,program,high_risk_keywords / always_manager_only / 7,претензи,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_8:857d689e43,internal,program,high_risk_keywords / always_manager_only / 8,роспотребнадзор,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_9:fa19331272,internal,program,high_risk_keywords / always_manager_only / 9,прокуратур,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_10:bfbc1b0c47,internal,program,high_risk_keywords / always_manager_only / 10,суд,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_11:7ebdeacdb5,internal,program,high_risk_keywords / always_manager_only / 11,иск,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_12:a5e5a5b3b1,internal,program,high_risk_keywords / always_manager_only / 12,нарушаете права,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_13:5c3f17c9b7,internal,program,high_risk_keywords / always_manager_only / 13,отзыв в интернете,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_14:34be4b11be,internal,program,high_risk_keywords / always_manager_only / 14,обещайте баллов,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_15:6ee5531857,internal,program,high_risk_keywords / always_manager_only / 15,гарантируйте баллов,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_always_manager_only_16:3be484908c,internal,program,high_risk_keywords / always_manager_only / 16,гарантируйте поступление,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_1:c2adeb4445,internal,matkap,high_risk_keywords / removed_2026_05_17_dmitri_decision / 1,маткапитал (общая лексика — теперь идёт по информационному маршруту),review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_2:c7afa2d47f,internal,program,high_risk_keywords / removed_2026_05_17_dmitri_decision / 2,региональный,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_3:4579c4eb87,internal,program,high_risk_keywords / removed_2026_05_17_dmitri_decision / 3,семейный сертификат,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_4:0d2dfdd347,internal,tax,high_risk_keywords / removed_2026_05_17_dmitri_decision / 4,налоговый,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_5:51a197472b,internal,tax,high_risk_keywords / removed_2026_05_17_dmitri_decision / 5,вычет,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_6:e9cee79ada,internal,program,high_risk_keywords / removed_2026_05_17_dmitri_decision / 6,13%,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_7:0ce7431fd0,internal,program,high_risk_keywords / removed_2026_05_17_dmitri_decision / 7,юридический (общая лексика),review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_8:4c2c7ad528,internal,payment_status,high_risk_keywords / removed_2026_05_17_dmitri_decision / 8,оплатил,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_9:33556355e8,internal,payment_status,high_risk_keywords / removed_2026_05_17_dmitri_decision / 9,провели платёж,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:high_risk_keywords_removed_2026_05_17_dmitri_decision_10:9cf20a161e,internal,program,high_risk_keywords / removed_2026_05_17_dmitri_decision / 10,зачислили,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:internal_processes_amo_duplicate_check:26c397011d,internal,program,internal_processes / amo_duplicate_check,Проверить активную сделку перед связью,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:internal_processes_history_vs_lead_history:e7f135bf21,internal,program,internal_processes / history_vs_lead / history,"Для филиала, синхронизируется с Tallanto",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:internal_processes_history_vs_lead_lead_feed:2a1c3e9323,internal,program,internal_processes / history_vs_lead / lead_feed,Только КЦ,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:internal_processes_mango_carousel_url:4fd1025171,internal,program,internal_processes / mango_carousel_url,https://lk.mango-office.ru,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:oc_script_brand_routing:60c8023ec3,internal,program,Обзвоны - скрипты,rule_internal: Если в названии группы стоит (УНПК) — звоним от УНПК. Остальным — от Фотон.; client_facing: False,internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_1_source_id:00a82a5dd4,internal,program,cross_brand_sources_inventory / 1 / source_id,unpk_to_foton_script.txt,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_1_type:5a40574676,internal,program,cross_brand_sources_inventory / 1 / type,google_drive_doc_export,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_1_severity:1e0675bcb6,internal,program,cross_brand_sources_inventory / 1 / severity,critical,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:internal:cross_brand_sources_inventory_1_rule:3adb4bfd95,internal,program,cross_brand_sources_inventory / 1 / rule,Весь файл — internal_only. Это скрипт перевода клиента с УНПК на Фотон. Бот ни одного из брендов не должен использовать ни одну фразу из этого скрипта.,internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_1_found_in:5cd8f8f678,internal,program,cross_brand_sources_inventory / 1 / found_in,enrichment_log/01_gdrive_exports_review_part2.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_2_source_id:b1c436388b,internal,program,cross_brand_sources_inventory / 2 / source_id,courses_pk_mfti_unpk.txt,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_2_type:1335a30474,internal,program,cross_brand_sources_inventory / 2 / type,google_drive_doc_export,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_2_severity:4ba5adee19,internal,program,cross_brand_sources_inventory / 2 / severity,critical,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_2_rule:819d70e0c9,internal,program,cross_brand_sources_inventory / 2 / rule,"Стратегический pre-sales документ для МФТИ/РосНОУ. Перечисляет обе компании и внутренних людей (Тавлеев, Фабарисов и т.д.). Internal_only.",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_2_found_in:aad73a129e,internal,program,cross_brand_sources_inventory / 2 / found_in,enrichment_log/01_gdrive_exports_review_part3.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_3_source_id:0e77cbd76d,internal,program,cross_brand_sources_inventory / 3 / source_id,script_positive_answer_flow.txt,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_3_type:d9ad6cc6b8,internal,program,cross_brand_sources_inventory / 3 / type,google_drive_doc_export,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_3_severity:6e4236212d,internal,program,cross_brand_sources_inventory / 3 / severity,critical,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_3_rule:93624fe1ff,internal,program,cross_brand_sources_inventory / 3 / rule,Пункт 8 содержит фразу «лучшими являются две компании УНПК МФТИ и Фотон». Эта фраза запрещена в клиентском тексте.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_3_found_in:182f2d711f,internal,program,cross_brand_sources_inventory / 3 / found_in,enrichment_log/01_gdrive_exports_review_part4.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_source_id:026f0699d0,internal,program,cross_brand_sources_inventory / 4 / source_id,qa_pairs.csv:cross_brand_21,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_type:f3a0c17b06,internal,program,cross_brand_sources_inventory / 4 / type,qa_pairs_subset,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_severity:f11877688a,internal,program,cross_brand_sources_inventory / 4 / severity,high,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_count:fd71f4b1cb,internal,program,cross_brand_sources_inventory / 4 / count,21,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_rule:9014779cd0,internal,program,cross_brand_sources_inventory / 4 / rule,21 QA-пара упоминает оба бренда в одном ответе. Не использовать как client_safe_text.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_4_found_in:4d6696d18c,internal,program,cross_brand_sources_inventory / 4 / found_in,enrichment_log/03_qa_pairs_topX_per_theme.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_source_id:4417ec6e3f,internal,program,cross_brand_sources_inventory / 5 / source_id,knowledge_chunks.csv:brand=mixed,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_type:51405727fc,internal,program,cross_brand_sources_inventory / 5 / type,chunks_subset,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_severity:8232c54b25,internal,program,cross_brand_sources_inventory / 5 / severity,high,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_count:603cb28eff,internal,program,cross_brand_sources_inventory / 5 / count,101,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_rule:ce50412d4d,internal,program,cross_brand_sources_inventory / 5 / rule,101 chunk с brand=mixed. Внутренние — нельзя как client_safe_text.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:cross_brand_sources_inventory_5_found_in:1837a6642c,internal,program,cross_brand_sources_inventory / 5 / found_in,enrichment_log/04_chunks_per_theme.md,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
