sample_rank,question_item_id,question_class_id,channel,topic,risk_group,answer_classification,answer_quality,customer_question_safe,context_summary,historical_manager_answer_safe,historical_answer_presence,client_followup_observed,technique,unsafe_reasons,outdated_or_unverified_fact_risks,usable_as_example,usable_as_fact,safe_pattern_summary,safe_pattern_template,required_fact_keys,bot_permission,answer_evidence_status,occurred_at,source_ref
11,question_item:1deeda47f0b6d95f807e88d60cbc2fb4,question_class:4da73a922d582652ffff435ffb342eed,call,доступ/ссылки,safe,good,good_candidate,"Клиент впервые подключается к онлайн-курсу, страница по ссылке не загружается, дополнительно спрашивает минимальную требуемую версию Chrome.",класс: доступ / технический вопрос / ошибка платформы или браузера / регулярный курс / онлайн; продукт: регулярный курс; формат: онлайн; нужны факты: [],"Понимаю, неприятно, когда занятие уже идет, а страница висит. По минимальной версии Chrome сейчас уточню у техподдержки, чтобы не назвать неверно. Пока проверьте, пожалуйста: последняя версия Chrome, VPN выключен, попробуйте режим инкогнито и перезагрузку страницы. Если колесо продолжит крутиться, я передам обращение администратору и попрошу связаться с вами по этой проблеме.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-04-12T16:46:28+00:00,call:enriched_reviews.csv#moment=0a55d9ea2784
12,question_item:398fc30ea211b054a0f5ed44dff10022,question_class:928ea2c202c8546ff6988edbacaab38d,call,доступ/ссылки,safe,good,good_candidate,"Клиент просит более подробную обратную связь по урокам, внимательную проверку домашних заданий и конкретику по срезам: что именно не получилось и как это проработать.",класс: письмо / ссылка / доступ не пришли / развернутый пересказ разговора; продукт: не указан; формат: не указан; нужны факты: [],"понимаю вас: если написано просто «над чем работать», но нет ошибок и шагов, это не помогает ребенку исправиться. Я передам куратору два конкретных пункта: более подробный комментарий хотя бы раз в месяц и понятную обратную связь по ДЗ и срезам: что неверно, какую тему повторить, что сделать к следующему занятию. Давайте я попрошу куратора вернуться к вам с ответом в личном кабинете или звонком в течение двух рабочих дней.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-02-25T15:44:03+00:00,call:enriched_reviews.csv#moment=5eb6903e314b
13,question_item:3a9a2bd4abd2a8ab99648c28f7790af9,question_class:5cf44ada4ebecaa1a912362c6f615ac6,call,доступ/ссылки,safe,good,good_candidate,"Клиентка не получила письмо с материалами, просит продублировать на свою почту, объясняет, что Башир временно без стабильной связи на Байкале, и сообщает высокий интерес к курсам на следующий год.",класс: письмо / ссылка / доступ не пришли / развернутый пересказ разговора / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: [],"поняла, сейчас продублирую материалы на вашу почту. ученик на Байкале и связь нестабильная, спокойно обсудите с ним, когда он вернется. Очень рада, что курс ему нравится. Я также отмечу интерес на следующий год: когда будете говорить с Баширом, уточните, пожалуйста, какие предметы или направления ему ближе, и я после этого предложу подходящие варианты.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-02-18T10:09:53+00:00,call:enriched_reviews.csv#moment=8b65a0abf04d
14,question_item:444e418a42a4ef23107f2c3706090833,question_class:a98969c61711a57391a92383c891bfeb,call,доступ/ссылки,safe,good,good_candidate,"Клиентка уточняет технический вопрос: можно ли пройти пробник позже, будет ли к нему доступ, и почему после пробного занятия пробник не увидели ни она, ни ученик.",класс: доступ / технический вопрос / доступ к тестам и результатам / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: [],"Да, пройти можно позже, это не страшно. Я сейчас зафиксирую, что вы не видите пробник после субботнего занятия, и проверю доступ по ученику. Доступ должен быть открыт в ближайшие дни; я дополнительно сообщу вам, когда его можно будет пройти. Если удобнее, отправим ссылку или инструкцию, где он находится.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-04-13T16:50:08+00:00,call:enriched_reviews.csv#moment=31bae01c9aa9
15,question_item:46443d0b7870aaae5babac1724fbbbd7,question_class:fc0a3b962701fc6fb377cf7a0e0cd3e8,call,доступ/ссылки,safe,good,good_candidate,"Клиент спрашивает, где посмотреть электронный результат контрольной по математике, которую писали в прошлое актуальное окно записи, и нужен ли для этого доступ в личный кабинет.","класс: доступ / технический вопрос / личный кабинет, логин или пароль / математика; продукт: не указан; формат: не указан; нужны факты: []","Да, результаты контрольной обычно смотрятся в личном кабинете. Ссылку мы отправляли в начале обучения, но я сейчас отмечу, чтобы вам ее продублировали. На данный момент в системе еще нет результата и комментария преподавателя. менеджер свяжется с вами после проверки; если менеджер свяжется с вами после проверки нам, и мы отдельно проверим доступ.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-02-24T16:53:18+00:00,call:enriched_reviews.csv#moment=86ce5fa98e02
16,question_item:4e85520c47e529711be02918d10bf8b9,question_class:715cc2608f33b9d67cfc059c1408b032,call,доступ/ссылки,safe,good,good_candidate,"Клиентка сообщает, что не открывается страница обратной связи, делится прогрессом Льва после зимней школы и спрашивает про ЗФТШ при наш учебный центр: с какого класса поступают, где найти информацию и как называется школа.",класс: доступ / технический вопрос / развернутый пересказ разговора / зимняя школа; продукт: зимняя школа; формат: не указан; нужны факты: [],"спасибо, очень рад, что Лев доволен и получил грамоту. По ссылке обратной связи я сейчас передам куратору, чтобы вам повторно отправили рабочую ссылку. ЗФТШ расшифровывается как заочная физико-техническая школа при наш учебный центр, это отдельная организация; я могу после звонка прислать вам название сообщением, чтобы было проще найти информацию.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-02-13T12:15:57+00:00,call:enriched_reviews.csv#moment=c649f42429fc
17,question_item:4f7d68ebc79808cd1ebcaf293c8d48a1,question_class:7b2dfcec56789895d3ea61f98ab67ef1,call,доступ/ссылки,safe,good,good_candidate,"Клиент получил письмо об открытии курса по математике, пытается зарегистрировать ребенка, но ссылка подтверждения на почту не приходит; дополнительно есть несостыковка по расписанию дистанционных занятий.",класс: доступ / технический вопрос / развернутый пересказ разговора / регулярный курс / математика / онлайн; продукт: регулярный курс; формат: онлайн; нужны факты: [],"Понимаю, занятие уже менеджер свяжется с вами после проверки карточку: ФИО ребенка, класс и email для подтверждения. Если у меня нет доступа к нужному курсу, я сейчас передам запрос в филиал сам и попрошу срочно отправить ссылку повторно. Продублируйте, пожалуйста, почту, на которую ждете письмо, и я зафиксирую, что вопрос срочный из-за сегодняшнего занятия.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-09-15T14:26:57+00:00,call:enriched_reviews.csv#moment=c82d[номер]
18,question_item:5341dd9ab06642533486e6621e7b601a,question_class:c993a9ea3ccab975e70c43df174306af,call,доступ/ссылки,safe,good,good_candidate,"Клиент не может присоединиться к текущему онлайн-уроку по математике для 3 класса через сайт, хотя занятие уже идет и доступ в личный кабинет есть.","класс: доступ / технический вопрос / личный кабинет, логин или пароль / регулярный курс / математика / 3 класс / онлайн; продукт: регулярный курс; формат: онлайн; нужны факты: []","Понимаю, урок уже идет, сейчас главное быстро подключить ученик. Доступ у вас открыт, поэтому я прямо сейчас отправлю на вашу почту прямую ссылку на занятие и параллельно передам администратору проверить вход через сайт. Если из-за сбоя пропустите актуальные вариантыь урока, напишите нам после занятия, мы отдельно посмотрим, как это менеджер свяжется с вами после проверки организационно.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-02-21T10:05:33+00:00,call:enriched_reviews.csv#moment=88706e8a5530
19,question_item:554653caaf3d4652219dba662a99f472,question_class:b68d41b15a61f7115ffcb1d03e488de9,call,доступ/ссылки,safe,good,good_candidate,Клиент уже записан на летнюю школу; нужно заполнить анкету по ссылке из рассылки.,класс: доступ / технический вопрос / развернутый пересказ разговора / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: [],"Здравствуйте, это учебный центр, ученик. Вы записаны на летнюю школу, перед стартом нам нужна короткая анкета. Вчера мы отправляли ссылку в рассылке. Подскажите, вы письмо видите? Если нет, я сейчас продублирую. Заполнение займет пару минут, лучше сделать актуальное окно записи, чтобы мы успели подготовить данные к вашему выходу.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-07-25T16:56:49+00:00,call:enriched_reviews.csv#moment=8e7c[номер]
20,question_item:56df0a6780230f66c731244021955a74,question_class:5cf44ada4ebecaa1a912362c6f615ac6,call,доступ/ссылки,safe,good,good_candidate,"Клиентка ждет справку, что Герман является слушателем курса, для портфолио при поступлении в школу; справку обещали прислать, но за более чем две недели ничего не пришло. Также есть замечания по дисциплине.",класс: письмо / ссылка / доступ не пришли / развернутый пересказ разговора / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: [],"Юлия, понимаю, справка нужна не в конце года, а сейчас для портфолио, и плохо, что после обещания прошло больше двух недель. Я сейчас передаю запрос куратору с пометкой срочно и менеджер свяжется с вами после проверки до актуальное окно записи я вернусь к вам со статусом: либо справка уже будет отправлена, либо назову точную дату выдачи. Замечание по дисциплине тоже зафиксировал и передам преподавателю и куратору.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-03-17T14:30:53+00:00,call:enriched_reviews.csv#moment=a08bd9eb47c0
21,question_item:5a12dd858f5cf7e7c091d507165c2e2a,question_class:360e47e8cf98df4e1ff9230c5fc2f763,call,доступ/ссылки,safe,good,good_candidate,"Честно, вы на какую почту отправляли?",класс: письмо / ссылка / доступ не пришли / на какую почту отправлено; продукт: не указан; формат: не указан; нужны факты: [],"Отправляли на удобный контакт. Я сейчас продублирую письмо, чтобы оно точно было у вас. Понимаю, что вы неделю были не на связи. Обсудите, пожалуйста, с ученик, что понравилось, чего не хватило и как он оценивает преподавателя. Когда вам удобно вернуться с ответом: актуальное окно записи вечером или актуальное окно записи?",present_redacted,not_reconstructed,короткий содержательный ответ,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-02-18T10:27:48+00:00,call:enriched_reviews.csv#moment=3a70f2b6b23e
22,question_item:5d31dda38a048b00ea45bb54bfe133dc,question_class:80397f66ea490fd3ed3ce2a4b3592433,call,доступ/ссылки,safe,good,good_candidate,"Действующий клиент не может посмотреть результаты летней выездной школы, потому что по ссылке открывается личный кабинет младшего сына вместо нужного ребенка.","класс: доступ / технический вопрос / личный кабинет, логин или пароль / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: []","Понял вас: по ссылке открывается ученик, а нужны результаты ученик по смене актуальное окно записи июня. Передаю администратору задачу проверить привязку двух детей к вашему email и отдельно отправить результаты ученик. Ответ дадим менеджер свяжется с вами после проверки, а если доступа не будет, я подскажу следующий шаг.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-08-01T12:35:07+00:00,call:enriched_reviews.csv#moment=5cb802c48878
23,question_item:5da8b1795212e8810708520ae381eb10,question_class:227ab0c76307b46ead6c562bb2717a86,call,доступ/ссылки,safe,good,good_candidate,"По-моему, я не понимаю, домашка там была или нет. Вроде как мне сын говорит, что нет домашки. Была домашка?",класс: доступ / технический вопрос / не видно домашнее задание; продукт: не указан; формат: не указан; нужны факты: [],"Да, домашние задания в этой группе есть. Они лежат в МТС Линк рядом с материалами занятия, в отдельной вкладке с заданиями. Я попрошу отправить вам на почту короткую инструкцию, где именно это открыть; если не получится, напишите нам, поможем проверить доступ. По следующему году тоже зафиксирую: вам нужна математика в групповом формате, верно? Есть принципиальные дни или время, которые лучше учесть?",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-04-07T13:40:11+00:00,call:enriched_reviews.csv#moment=789d[номер]
