dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,high_risk_route_relaxed,baseline_draft_text,enriched_draft_text
1751378045,16392,"Не надо связываться, спасибо",service:S3_out_of_scope,service:S2_unclear,manager_only,draft_for_manager,,,15,43,True,,True,,,,Клиент просит не связываться. Сообщение клиенту отправлять не нужно. Менеджеру стоит зафиксировать отказ и просьбу не контактировать по регламенту компании.,Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Проверка активной сделки лид/клиента; source=source:local_docx:a238607e99b38079; freshness=unknown] Как проверить если ли контакт/сделка на клиента? В воронке «Лиды» собираются все заявки из любых точек входа.При входе в неразобранную заявку система предла... Перед отправкой проверим актуальность условий именно для вашей программы.
1823221342,6474,Письмо со ссылкой получила. Спасибо.,service:S1_non_question,theme:025_missing_links_access,manager_only,manager_only,,,5,43,True,,True,,,,"Здравствуйте! Спасибо, рады, что письмо со ссылкой получили.","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Завершение разговора; source=source:local_docx:a238607e99b38079; freshness=unknown] «[Имя Отчество], спасибо большое за такую подробную обратную связь и ваше время! Это очень ценно для нас.» Проверяем оплату: Если есть долг – мягко напоминаем) Отвечаем на... Перед отправкой проверим актуальность условий именно для вашей программы."
331532799,3014,"Здравствуйте, Летняя Выездная школа находится в Менделеево у Зеленограда?",theme:019a_positive_feedback,service:S2_unclear,manager_only,draft_for_manager,,,5,30,True,,True,,,,"Пожалуйста! Если появятся вопросы, напишите.",Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Продукты Оглавление; source=source:local_docx:a238607e99b38079; freshness=unknown] Письма оглавление Интенсив 2026 Летняя школа 2026 Перед отправкой проверим актуальность условий именно для вашей программы.
421419227,9694,"Добрый день, оплата за Еремина М и Еремина М",service:S2_unclear,theme:001_pricing,manager_only,manager_only,,,18,44,True,,True,,,,"Добрый день! Уточните, пожалуйста, что именно нужно по оплате за Машу и Максима: проверить поступление платежа, прислать способ оплаты или подсказать сумму/срок?","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Часть 3: Запись на следующий год; source=source:local_docx:a238607e99b38079; freshness=unknown] Спасибо за обратную связь, нам она очень важна.Подскажите, вы планируете продолжить обучение в следующем году? Если ответ: даМы сейчас открыли раннее бронирован... Перед отправкой проверим актуальность условий именно для вашей программы."
426475103,9690,Есть ли пробное занятие?,theme:023_trial_class,service:S2_unclear,draft_for_manager,manager_only,,,14,13,,,True,,,,"Здравствуйте! Уточним возможность пробного занятия по онлайн-математике для 3 класса и подскажем условия: дату, формат подключения и нужно ли заранее регистрироваться.","Здравствуйте! Передам вопрос менеджеру: здесь нужно сверить актуальные условия и не обещать суммы, проценты или сроки без подтвержденного источника."
5194977220,16490,Напишите мне в макс тестовое сообщение🙏,service:S5_general_consultation,service:S2_unclear,draft_for_manager,draft_for_manager,,,9,41,True,,True,,,,"Здравствуйте! Да, напишу вам тестовое сообщение в MAX. Проверьте, пожалуйста, что у нас указан верный контакт для связи.",Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Часть 1: Информация об успехах и прогрессе; source=source:local_docx:a238607e99b38079; freshness=unknown] «Хочу немного рассказать о прогрессе [Имя ученика]». Общий прогресс по курсу: Берем информацию из последнего столбца “Сообщение” по каждой группе – та... Перед отправкой проверим актуальность условий именно для вашей программы.
5223239650,8842,"ок, номер подскажите?",service:S2_unclear,service:S2_unclear,manager_only,draft_for_manager,,,11,44,True,,True,,,,"Здравствуйте! Да, подскажем контакт. Я уточню актуальный номер справочной/нужного подразделения и отправлю вам корректную информацию.","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Способ 2. Ручной поиск; source=source:local_docx:a238607e99b38079; freshness=unknown] Скопировать контактную информацию клиента (ФИО, телефон, email и т.д.) Выйти во вкладку «Рабочий стол» Вставить данные в строку поиска Важно!Номер телефона вводим без про... Перед отправкой проверим актуальность условий именно для вашей программы."
532164893,2753,"Добрый день! Нам уже прислали Договор и реквизиты для оплаты.
1. Попов Константин Алексеевич
2. 6 класс
3. Попов Алексей Викторович 
4. +79857667456
5. 7667456@mail.ru",service:S1_non_question,theme:001_pricing,manager_only,manager_only,,,35,44,True,,True,,,,"Получены данные для записи на летнюю выездную школу и формирования оплаты/документов: ученик Попов Константин Алексеевич, 6 класс; родитель Попов Алексей Викторович; телефон +79857667456; почта 7667456@mail.ru. Перед ответом клиенту проверьте запись в группу, корректность договора/реквизитов и возможность сформировать ссылку на предоплату.","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Часть 3: Запись на следующий год; source=source:local_docx:a238607e99b38079; freshness=unknown] Спасибо за обратную связь, нам она очень важна.Подскажите, вы планируете продолжить обучение в следующем году? Если ответ: даМы сейчас открыли раннее бронирован... Перед отправкой проверим актуальность условий именно для вашей программы."
6962641825,11027,Здравствуйте! 8 марта занятия на Скорняжном будут?,theme:013_schedule,service:S2_unclear,draft_for_manager,draft_for_manager,,,17,39,True,,True,,,,"Здравствуйте! Уточню, будут ли занятия 8 марта на площадке на Скорняжном, и вернусь с ответом. Если в этот день будет перенос или изменение расписания, сообщим отдельно.","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Создать занятие в группе; source=source:local_docx:a238607e99b38079; freshness=unknown] Как создать занятие в группе Действия по шагам: Заходим в группу, от которой нужно создать занятие Находим вкладку ""занятия"" и нажимаем на “+” Далее заполняем поля, выд... Перед отправкой проверим актуальность условий именно для вашей программы."
837619059,4451,"Здравствуйте! 
Да, конечно! Сейчас отправлю Вам.",service:S1_non_question,service:S2_unclear,manager_only,draft_for_manager,True,,7,39,True,True,True,,,,"Спасибо, будем ждать файл. После получения проверим и подтвердим.","Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера: [Перевод с УНПК на Фотон; source=source:local_docx:a238607e99b38079; freshness=unknown] Скрипт перевода с УНПК на ФОТОН (пример по ЛВШ) Обязательно в начале разговора узнаем класс и пол ребенка (к примеру девочка 7 класс), отвечаем, что, к сожалению, на дан... Перед отправкой проверим актуальность условий именно для вашей программы."
