sample_rank,question_item_id,question_class_id,channel,topic,risk_group,answer_classification,unsafe_reasons,outdated_or_unverified_fact_risks,historical_manager_answer_safe,safe_pattern_summary,usable_as_fact
127,question_item:036dd451508a762deadb47afe89a525b,question_class:fc3fd0b17a82b98b51e7c3cb3ca1faad,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"да, понимаю, нужно спокойно сравнить. Сейчас актуальное окно записи годовой курс актуальную стоимость рублей, и если подтвердите многодетный статус, будет еще минус актуальные варианты. Подскажите, вы больше сравниваете по цене с прошлым годом или еще важно расписание ученик? Давайте я зафиксирую условия и менеджер свяжется с вами после проверки во второй половине дня, чтобы не потерять актуальные варианты.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
128,question_item:04740c962b3fc9b6b5b575d697f8be76,question_class:6c9cc204cd1c46e040c2999b7ca3b140,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Да, даты уже есть: актуальное окно записи - актуальное окно записи и актуальное окно записи - актуальное окно записи, занятия актуальное окно записи. По актуальные варианты актуальное окно записи стоимость актуальную стоимость за ребенка. Я отправлю вам программу и условия на почту. Скажите, какая смена вам предварительно удобнее, и можно я вернусь к вам за решением за пару дней до окончания актуальные варианты?","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
129,question_item:04f30d26dc026e38ae7457c6ee88424e,question_class:1b5d6181e26ac0b4297b1d8a9ac0a498,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Да, посчитаю по одному занятию: при оплате года актуальную стоимость за 35 занятий получается примерно актуальную стоимость за двухчасовое занятие по одному предмету. Семестр — актуальную стоимость за 20 занятий, примерно актуальную стоимость за занятие. На второй предмет актуальные варианты. Я отправлю программу и цены на новую почту. Подскажите, вам удобнее, чтобы я актуальное окно записи набрала и ответила на вопросы после просмотра письма?","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
130,question_item:054658ecc0c19be313d008c842a361c1,question_class:7534212d0fed1ea80378192f78a86e79,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Понимаю: вам важно не ОГЭ и не чистая олимпиада, а сильная школьная физика с понятной проверкой уровня. Тогда я предложу начать с тестирования и, предварительно, с продвинутой группы: там идет углубленная школьная программа, а олимпиадные задачи добавляются мягко. В WhatsApp сейчас отправлю расписание групп в центре, стоимость пробных 4 занятий актуальную стоимость и ссылку на тест. Давайте я вернусь к вам после результата теста и помогу выбрать группу, чтобы не ездить зря.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
131,question_item:054c045f5df462d8cb6afbe69908f4ae,question_class:137291671d235c52e9b859318415a558,telegram,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact|review_requires_actual_fact_check,Добрый день! Открылся набор в Летние выездные школы.,"Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
132,question_item:0a9671462980138b9072cb96076ab73a,question_class:137291671d235c52e9b859318415a558,telegram,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact|review_requires_actual_fact_check,При оплате актуальное окно записи стоимость смены за одного ученика - актуальную стоимость,"Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
133,question_item:0b13eface50d025b4b8dae97e00f0be1,question_class:7c74aa4bda3b39a7fd703de10cfa5776,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Сначала решу вопрос с оплатой/действующие правила изменения или отмены услуги и подтвержу письмом. После этого, если удобно, отдельно обсудим продолжение обучения.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
134,question_item:0cc02d462c26da15e6613ecd6b0b6846,question_class:a84f4cc0e25ee171178e7eb5fdd59b90,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Понимаю, если вы в дороге, подробно сейчас не буду нагружать. Я отправлю в WhatsApp актуальное окно записи стоимость, расписание, темы и презентацию по онлайн-направлению для 9 класса. По предметам: математику можно брать отдельно или дополнительно, а физику и информатику нужно выбрать одну, потому что они стоят в расписании в один день. После того как посмотрите, я могу актуальное окно записи коротко ответить на вопросы и помочь выбрать связку предметов.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
135,question_item:0d4b71cc5de570fbe23662e218c2bb43,question_class:246b378e4bbd46bc975901114d603cca,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Понимаю, если адрес, который подтвердит менеджер далеко, это может быть решающим фактором. Давайте тогда не будем сейчас упираться в этот вариант: я уточню, есть ли физика подходящего уровня в Москве или близкая альтернатива. Подскажите, какие районы вам подходят и в какие дни ребенок может заниматься? Я перезвоню актуальное окно записи после актуальное окно записи с конкретными вариантами.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
136,question_item:11b6ead6d6834b618b6973cdb304967f,question_class:c4b8ce932a21fbb9735a95db2c962872,telegram,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Добрый день! Занятия для 1 класса проходят в адрес, который подтвердит менеджер. Там будет удобно посещать?","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
137,question_item:12d8dc7481e2f26b19b3060a4e19f28a,question_class:da2a014617519393da9ded5b3910aa49,telegram,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Все верно, при оплате актуальное окно записи с учетом актуальные варианты: • актуальную стоимость — 20 занятий (Первый семестр); • актуальную стоимость — 35 занятий (Академический год)","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
138,question_item:18526518d7a7f18e89846e1f2c3b4315,question_class:e08f325a8ef24a52dc2c2a2f561486a4,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Понимаю, что стоимость важна. Давайте подберем формат по бюджету: летний лагерь, варианты оплаты/актуальные варианты и срок, до которого можно закрепить место.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
139,question_item:18b60d0c4fb590b609241770268f9b06,question_class:3a0c03d6a2e6db2fd5b06891ed09ef6f,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Да, семестр в вашем случае это полгода: актуальную стоимость. Весь курс с сентября по май стоит актуальную стоимость. Можем поставить оплату первой актуальные вариантыи на первую неделю сентября, запись ученик на физику по субботам на адрес, который подтвердит менеджер сохраняю. Информацию по оплате отправим, и будем ждать поступления.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
140,question_item:1977d51c930e9a53e1e2e7d14f36a114,question_class:66cd227be185047b900426a3e614fc24,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"понимаю ваше беспокойство: если ребенок пришел сразу на контрольную и тема уже ушла вперед, первое занятие действительно могло показаться бесполезным. Я зафиксирую это и передам преподавателю, чтобы он понял, где ребенок сейчас и что нужно подтянуть. Давайте после занятия 30-го я свяжусь с вами: обсудим, стало ли понятнее, и при необходимости подберем вариант поддержки или другой формат.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
