relative_path,action,bytes,file_count,reason,trash_path
АКТУАЛЬНО_История_еще_не_добита.xlsx,moved_to_trash,4793,1,stale root Excel; empty technical sheet,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_История_еще_не_добита.xlsx
АКТУАЛЬНО_Контакты_для_продаж.xlsx,moved_to_trash,4470706,1,stale root contacts Excel; replaced by active master_contacts_ru.csv,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_Контакты_для_продаж.xlsx
АКТУАЛЬНО_Полный_пакет_экспорта.xlsx,moved_to_trash,18279661,1,stale root all-in-one export; replaced by active 20260523 CSV export folder,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_Полный_пакет_экспорта.xlsx
АКТУАЛЬНО_РОП_очередь_сделок_30д_live.xlsx,moved_to_trash,548522,1,stale root ROP deal queue; current AMO/deal-aware layers use current runtime/audit packs,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_РОП_очередь_сделок_30д_live.xlsx
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v2_hybrid_reuse,moved_to_trash,25968527,11,intermediate Stage12 KB export superseded by v11 frozen gate and current runtime,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v2_hybrid_reuse
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v4_stage15_hardened,moved_to_trash,34776193,11,intermediate Stage15 KB export superseded by later safety/frozen-gate layers,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v4_stage15_hardened
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v5_claude_safety_fix,moved_to_trash,32261755,11,intermediate sanitizer fix export superseded by later frozen-gate layers,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v5_claude_safety_fix
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v6_claude_safety_fix,moved_to_trash,32261949,11,intermediate sanitizer fix export superseded by later frozen-gate layers,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v6_claude_safety_fix
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v7_location_fix,moved_to_trash,32263198,11,intermediate sanitizer fix export superseded by later frozen-gate layers,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v7_location_fix
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v8_orphan_surname_fix,moved_to_trash,32268033,11,intermediate sanitizer fix export superseded by v10/v11 frozen-gate layers; docs keep historical report,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v8_orphan_surname_fix
stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v10_fixpoint,moved_to_trash,32316726,11,intermediate fixpoint export superseded by v11 frozen-gate layer,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_insight_knowledge_base_after_quality_backfill_20260510_v10_fixpoint
stable_runtime/amo_live_stage51_summary_repair_20260512_v1,moved_to_trash,352385,7,"superseded dry-run repair pack; no approval/readback history, replaced by stage51_textarea_repair_v2",/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/amo_live_stage51_summary_repair_20260512_v1
stable_runtime/amo_live_stage55_20260511_v2_wrong_person_gate_check,moved_to_trash,183940,11,failed wrong-person gate check pack; no downstream refs,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/amo_live_stage55_20260511_v2_wrong_person_gate_check
stable_runtime/crm_writeback_quality_gate_20260510_v5_product_gate,moved_to_trash,268730,11,early product gate superseded by later/current CRM gates; no refs,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/crm_writeback_quality_gate_20260510_v5_product_gate
stable_runtime/amo_writeback_queue_20260516_after_mango_update_v1,moved_to_trash,83000,7,old AMO queue superseded by current 20260523 AMO queue,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/amo_writeback_queue_20260516_after_mango_update_v1
stable_runtime/amo_writeback_queue_20260521_after_mango_update_v4_runtime_acceptance,moved_to_trash,54717,7,old AMO queue superseded by current 20260523 AMO queue,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/amo_writeback_queue_20260521_after_mango_update_v4_runtime_acceptance
stable_runtime/crm_writeback_quality_gate_20260513_human_history_v1,moved_to_trash,301383,11,old human-history CRM quality gate superseded by current 20260523 gate,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/crm_writeback_quality_gate_20260513_human_history_v1
stable_runtime/crm_writeback_quality_gate_20260513_human_history_v2,moved_to_trash,301387,11,old human-history CRM quality gate superseded by current 20260523 gate,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/crm_writeback_quality_gate_20260513_human_history_v2
stable_runtime/crm_writeback_quality_gate_20260513_human_history_v3,moved_to_trash,301399,11,old human-history CRM quality gate superseded by current 20260523 gate,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/crm_writeback_quality_gate_20260513_human_history_v3
stable_runtime/crm_writeback_quality_gate_20260521_after_mango_update_v4_runtime_acceptance,moved_to_trash,52880,11,old CRM quality gate superseded by current 20260523 gate,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/crm_writeback_quality_gate_20260521_after_mango_update_v4_runtime_acceptance
