priority,approval_item_id,item_type,topic,fact_id_ref,brand,product,manager_text,suggested_decision,rop_question,source_id,linked_open_question,risk_notes
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_plus_full_217cf635c1,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_plus_full:217cf635c1,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, расширенный вариант на полный день — 59 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, расширенный вариант на полный день — 59 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_plus_half_ed61139fb9,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_plus_half:ed61139fb9,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, расширенный вариант на полдня — 49 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, расширенный вариант на полдня — 49 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_benefit_a08fab92e3,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_benefit:a08fab92e3,foton,regular_courses_2026_27,Фотон: цены на 2026/27 учебный год — Зафиксировать цену + выбрать день недели.,approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год — Зафиксировать цену + выбрать день недели.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_description_2951748851,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_description:2951748851,foton,regular_courses_2026_27,Фотон: цены на 2026/27 учебный год — Раннее бронирование для действующих учеников Фотона.,approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год — Раннее бронирование для действующих учеников Фотона.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_online_5_11_semester_6a645a3305,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_online_5_11_semester:6a645a3305,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_online_5_11_year_b39698b01b,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_online_5_11_year:b39698b01b,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 47 250 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 47 250 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_3_4_class_after_2026_07_01_four_weeks_952198b935,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_3_4_class_after_2026_07_01_four_weeks:952198b935,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, 4 недели — 7 900.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, 4 недели — 7 900.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_3_4_class_after_2026_07_01_semester_range_55c0d5b332,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_3_4_class_after_2026_07_01_semester_range:55c0d5b332,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, семестр — диапазон от 26 500 ₽ до 39 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, семестр — диапазон от 26 500 ₽ до 39 500 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_3_4_class_after_2026_07_01_year_range_6a4b076fff,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_3_4_class_after_2026_07_01_year_range:6a4b076fff,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, год — диапазон от 59 500 ₽ до 69 125 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, после 01.07.2026, год — диапазон от 59 500 ₽ до 69 125 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_3_4_class_before_2026_07_01_semester_f3a5b189a1,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_3_4_class_before_2026_07_01_semester:f3a5b189a1,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, до 01.07.2026, семестр — 28 250 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, до 01.07.2026, семестр — 28 250 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_3_4_class_before_2026_07_01_year_0224369794,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_3_4_class_before_2026_07_01_year:0224369794,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, до 01.07.2026, год — 47 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 3-4 класс, очно, до 01.07.2026, год — 47 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_after_2026_07_01_four_weeks_cd6d8a2fd7,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_after_2026_07_01_four_weeks:cd6d8a2fd7,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, 4 недели — 11 400.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, 4 недели — 11 400.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_after_2026_07_01_four_weeks_new_e6b955335f,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_after_2026_07_01_four_weeks_new:e6b955335f,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, 4 недели для новых учеников — 8 900.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, 4 недели для новых учеников — 8 900.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_after_2026_07_01_semester_range_c7e936c863,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_after_2026_07_01_semester_range:c7e936c863,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, семестр — диапазон от 37 125 ₽ до 57 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, семестр — диапазон от 37 125 ₽ до 57 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_after_2026_07_01_year_range_76f1e00826,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_after_2026_07_01_year_range:76f1e00826,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, год — диапазон от 83 500 ₽ до 99 750 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, год — диапазон от 83 500 ₽ до 99 750 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_before_2026_07_01_semester_36842d05b0,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_before_2026_07_01_semester:36842d05b0,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, семестр — 44 600 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, семестр — 44 600 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_offline_5_11_class_before_2026_07_01_year_1ba4d315ac,price,01_pricing,fact:v3:foton:prices_regular_2026_27_offline_5_11_class_before_2026_07_01_year:1ba4d315ac,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, год — 74 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, год — 74 500 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_1_4_class_after_2026_08_01_semester_range_c4480899d1,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_1_4_class_after_2026_08_01_semester_range:c4480899d1,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, после 01.08.2026, семестр — диапазон от 22 500 ₽ до 29 700 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, после 01.08.2026, семестр — диапазон от 22 500 ₽ до 29 700 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_1_4_class_after_2026_08_01_year_range_8ea6a5df3c,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_1_4_class_after_2026_08_01_year_range:8ea6a5df3c,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, после 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, после 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_1_4_class_before_2026_08_01_semester_a342b06c1f,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_1_4_class_before_2026_08_01_semester:a342b06c1f,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, семестр — 19 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, семестр — 19 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_1_4_class_before_2026_08_01_year_range_e7e679a41b,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_1_4_class_before_2026_08_01_year_range:e7e679a41b,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, год — диапазон от 29 900 ₽ до 33 300 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, год — диапазон от 29 900 ₽ до 33 300 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_5_11_class_after_2026_08_01_semester_range_c2eb8a6865,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_5_11_class_after_2026_08_01_semester_range:c2eb8a6865,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, после 01.08.2026, семестр — диапазон от 27 540 ₽ до 40 800 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, после 01.08.2026, семестр — диапазон от 27 540 ₽ до 40 800 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_5_11_class_after_2026_08_01_year_range_3eaa91c219,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_5_11_class_after_2026_08_01_year_range:3eaa91c219,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, после 01.08.2026, год — диапазон от 61 500 ₽ до 71 400 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, после 01.08.2026, год — диапазон от 61 500 ₽ до 71 400 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_5_11_class_before_2026_08_01_semester_3a603a0670,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_5_11_class_before_2026_08_01_semester:3a603a0670,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, семестр — 29 750 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, семестр — 29 750 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_online_5_11_class_before_2026_08_01_year_range_d905313fcc,price,01_pricing,fact:v3:foton:prices_regular_2026_27_online_5_11_class_before_2026_08_01_year_range:d905313fcc,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_fiztech_olympiad_prices_group_0a8949bd9a,price,01_pricing,fact:v3:unpk:fiztech_olympiad_prices_group:0a8949bd9a,unpk,fiztech_olympiad_general,"УНПК: prices , group — 50 000 ₽. [client_blocked: blocked_status:needs_owner_confirmation, manager_only_route, not_client_allowed_status:needs_owner_confirmation]",needs_owner_confirmation_before_client_use,"Кто должен подтвердить перед ответом клиенту: УНПК, fiztech olympiad general? Факт: УНПК: prices , group — 50 000 ₽.",claude_layer_v3:facts_for_bot_UNPK,owner_confirmation_required,"Импортировано из Claude v3 handoff. Перед клиентским использованием нужна проверка менеджером/РОПом. safety: ['blocked_status:needs_owner_confirmation', 'manager_only_route', 'not_client_allowed_status:needs_owner_confirmation']"
P0,approve:fact_v3_unpk_fiztech_olympiad_prices_individual_38eac857f7,price,01_pricing,fact:v3:unpk:fiztech_olympiad_prices_individual:38eac857f7,unpk,fiztech_olympiad_general,"УНПК: prices , individual — 33 000 ₽. [client_blocked: blocked_status:needs_owner_confirmation, manager_only_route, not_client_allowed_status:needs_owner_confirmation]",needs_owner_confirmation_before_client_use,"Кто должен подтвердить перед ответом клиенту: УНПК, fiztech olympiad general? Факт: УНПК: prices , individual — 33 000 ₽.",claude_layer_v3:facts_for_bot_UNPK,owner_confirmation_required,"Импортировано из Claude v3 handoff. Перед клиентским использованием нужна проверка менеджером/РОПом. safety: ['blocked_status:needs_owner_confirmation', 'manager_only_route', 'not_client_allowed_status:needs_owner_confirmation']"
P0,approve:fact_v3_unpk_intensives_2026_ege_unpk_prices_one_block_0233880ebf,price,01_pricing,fact:v3:unpk:intensives_2026_ege_unpk_prices_one_block:0233880ebf,unpk,intensives_2026,"УНПК: интенсивы 2026, один блок — 9 400 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, intensives 2026? Факт: УНПК: интенсивы 2026, один блок — 9 400 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_intensives_2026_ege_unpk_prices_one_subject_f3bf922d3a,price,01_pricing,fact:v3:unpk:intensives_2026_ege_unpk_prices_one_subject:f3bf922d3a,unpk,intensives_2026,"УНПК: интенсивы 2026, один предмет — 18 800 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, intensives 2026? Факт: УНПК: интенсивы 2026, один предмет — 18 800 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_intensives_2026_ege_unpk_prices_two_subjects_0b2766da8f,price,01_pricing,fact:v3:unpk:intensives_2026_ege_unpk_prices_two_subjects:0b2766da8f,unpk,intensives_2026,"УНПК: интенсивы 2026, два предмета — 34 400 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, intensives 2026? Факт: УНПК: интенсивы 2026, два предмета — 34 400 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_ls_city_2026_unpk_dolgoprudny_prices_base_c986337fbb,price,01_pricing,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_base:c986337fbb,unpk,city_camp_2026,"УНПК: городской летний лагерь, Долгопрудный, базовый вариант — 37 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, city camp 2026? Факт: УНПК: городской летний лагерь, Долгопрудный, базовый вариант — 37 500 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_ls_city_2026_unpk_dolgoprudny_prices_plus_factultative_2b06671e9c,price,01_pricing,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_plus_factultative:2b06671e9c,unpk,city_camp_2026,"УНПК: городской летний лагерь, Долгопрудный, вариант с факультативом — 59 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, city camp 2026? Факт: УНПК: городской летний лагерь, Долгопрудный, вариант с факультативом — 59 500 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_ls_city_2026_unpk_dolgoprudny_prices_plus_individual_9df1ec1007,price,01_pricing,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_plus_individual:9df1ec1007,unpk,city_camp_2026,"УНПК: городской летний лагерь, Долгопрудный, вариант с индивидуальными занятиями — 99 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, city camp 2026? Факт: УНПК: городской летний лагерь, Долгопрудный, вариант с индивидуальными занятиями — 99 500 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_unpk_ls_city_2026_unpk_moscow_ano_prices_base_f5bb59c16c,price,01_pricing,fact:v3:unpk:ls_city_2026_unpk_moscow_ano_prices_base:f5bb59c16c,unpk,city_camp_2026,"УНПК: городской летний лагерь, Москва, базовый вариант — 37 500 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: УНПК, city camp 2026? Факт: УНПК: городской летний лагерь, Москва, базовый вариант — 37 500 ₽.",claude_layer_v3:facts_for_bot_UNPK,,Импортировано из Claude v3 handoff.
