fact_key,brand,preview,has_grades,existing_grades,has_subjects,existing_subjects,has_formats,existing_formats,has_products,existing_products,has_is_positive_statement,needs_manual_audit,audit_reason,proposed_grades,proposed_subjects,proposed_formats,proposed_products,proposed_is_positive
ls_city_2026_foton.moscow_foton.dates,foton,"Фотон: городской летний лагерь, Москва, даты — 3-14 августа.",False,,False,,False,,True,city_camp_2026,False,False,,,,,city_camp_2026,True
ls_city_2026_foton.moscow_foton.location,foton,"Фотон: городской летний лагерь, Москва — Верхняя Красносельская ул., 30.",False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
ls_city_2026_foton.moscow_foton.prices.base,foton,"Фотон: городской летний лагерь, Москва, базовый вариант — 34 300 ₽.",False,,False,,False,,True,city_camp_2026,False,True,уровни/разряды; числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.moscow_foton.prices.plus_full,foton,"Фотон: городской летний лагерь, Москва, расширенный вариант на полный день — 59 ",False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.moscow_foton.prices.plus_half,foton,"Фотон: городской летний лагерь, Москва, расширенный вариант на полдня — 49 000 ₽",False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.not_to_confuse_with,foton,Фотон: городской летний лагерь — ЛВШ выездная — другой продукт.,False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,False
contacts_foton.email,foton,Фотон: контакты — edu@cdpofoton.ru.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.phone,foton,Фотон: контакты — 8 (495) 500-25-88.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.schedule,foton,"Фотон: контакты, расписание — Пн-Вс 10:00-18:00.",False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.telegram,foton,Фотон: контакты — @cdpoFoton.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.toll_free,foton,Фотон: контакты — 8 (800) 550-25-88.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.vk,foton,Фотон: контакты — vk.ru/foton_edu.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.website,foton,Фотон: контакты — cdpofoton.ru.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
contacts_foton.whatsapp,foton,Фотон: контакты — +7 925 500 25 88.,False,,False,,False,,True,contacts_foton,False,False,,,,,contacts_foton,True
discounts.active_student_to_summer_camp.condition_client_text,foton,Фотон: для действующих учеников этого учебного центра доступна скидка действующи,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.active_student_to_summer_camp.pct,foton,Фотон: для действующих учеников этого учебного центра доступна скидка 7% на любо,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.applies_to.1,foton,Фотон: скидка постоянным участникам ЛВШ применяется к продукту «ЛВШ Менделеево».,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.condition_client_text,foton,Фотон: скидка постоянным участникам ЛВШ действует при условии: постоянным гостям,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.not_applies_to.1,foton,Фотон: скидка постоянным участникам ЛВШ не применяется к продукту «ЛШ городская»,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.loyal_customers_lvsh_only.not_applies_to.2,foton,Фотон: скидка постоянным участникам ЛВШ не применяется к продукту «регулярные ку,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.loyal_customers_lvsh_only.not_applies_to.3,foton,Фотон: скидка постоянным участникам ЛВШ не применяется к продукту «интенсивы».,False,,False,,False,,True,discounts,False,True,экзамен/интенсив; числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.loyal_customers_lvsh_only.not_applies_to.4,foton,Фотон: скидка постоянным участникам ЛВШ не применяется к продукту «индивидуальны,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.loyal_customers_lvsh_only.tiers.pct_10,foton,Фотон: скидка постоянным участникам ЛВШ — 10%; условие: после 2 смен ЛВШ.,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.tiers.pct_15,foton,Фотон: скидка постоянным участникам ЛВШ — 15%; условие: после 3-4 смен ЛВШ.,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.tiers.pct_20,foton,Фотон: скидка постоянным участникам ЛВШ — 20%; условие: после 5 смен ЛВШ.,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.tiers.pct_30,foton,Фотон: скидка постоянным участникам ЛВШ — 30%; условие: после 6 и более смен ЛВШ,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.loyal_customers_lvsh_only.tiers.pct_5,foton,Фотон: скидка постоянным участникам ЛВШ — 5%; условие: после 1 посещённой смены ,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.multichild.condition_client_text,foton,Фотон: скидка — детям из многодетной семьи при предъявлении удостоверения многод,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.multichild.note,foton,"Фотон: скидка для многодетных семей действует по статусу семьи, а не по количест",False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.multichild.pct,foton,Фотон: скидка для многодетных семей — 10%; условие: подтвердить статус многодетн,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.refer_a_friend.camp_advanced_tariff.cashback,foton,Фотон: по программе «приведи друга» кэшбэк 5 000 ₽; условие: после завершения см,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.refer_a_friend.camp_advanced_tariff.condition_client_text,foton,"Фотон: скидка, программа «приведи друга» — после того как приглашённый друг отуч",False,,False,,False,,True,discounts,False,True,уровни/разряды; числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.refer_a_friend.camp_base_tariff.cashback,foton,Фотон: по программе «приведи друга» кэшбэк 3 000 ₽; условие: после завершения см,False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.refer_a_friend.camp_base_tariff.condition_client_text,foton,"Фотон: скидка, программа «приведи друга» — после того как приглашённый друг отуч",False,,False,,False,,True,discounts,False,True,уровни/разряды; числовой факт (риск расхождения между брендами),,,,discounts,True
discounts.refer_a_friend.offline.cashback,foton,Фотон: по программе «приведи друга» кэшбэк 10 000 ₽; условие: после 5 занятий др,False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,True
discounts.refer_a_friend.offline.condition_client_text,foton,"Фотон: скидка, очно, программа «приведи друга» — после того как приглашённый дру",False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,True
discounts.refer_a_friend.online.cashback,foton,Фотон: по программе «приведи друга» кэшбэк 10 000 ₽; условие: после семестра обу,False,,False,,True,online,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,online,discounts,True
discounts.refer_a_friend.online.condition_client_text,foton,"Фотон: скидка, онлайн, программа «приведи друга» — после того как приглашённый д",False,,False,,True,online,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,online,discounts,True
discounts.second_subject.offline.client_safe_text,foton,"Скидка на второй предмет очно — 20% на того же ребёнка; скидки не суммируются, п",False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,False
discounts.second_subject.offline.condition_client_text,foton,Фотон: при очном обучении скидка на второй предмет составляет на второй и послед,False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,True
discounts.second_subject.offline.example,foton,Фотон: при очном обучении на второй предмет действует скидка 20%; условие: учени,False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,True
discounts.second_subject.offline.pct,foton,Фотон: при очном обучении скидка на второй предмет составляет 20%.,False,,False,,True,offline,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,offline,discounts,True
discounts.second_subject.online.condition_client_text,foton,Фотон: при онлайн-обучении скидка на второй предмет составляет на второй и после,False,,False,,True,online,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,online,discounts,True
discounts.second_subject.online.example,foton,Фотон: при онлайн-обучении на второй предмет действует скидка 30%; условие: учен,False,,False,,True,online,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,online,discounts,True
discounts.second_subject.online.pct,foton,Фотон: при онлайн-обучении скидка на второй предмет составляет 30%.,False,,False,,True,online,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,online,discounts,True
discounts.stacking_rule,foton,"Фотон: если клиенту доступно несколько скидок, они не суммируются; применяется н",False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
discounts.stacking_rule_text,foton,"Фотон: если клиенту доступно несколько скидок, они не суммируются; применяется н",False,,False,,False,,True,discounts,False,True,числовой факт (риск расхождения между брендами),,,,discounts,False
individual_lessons_foton.format,foton,"Фотон: индивидуальные занятия — Только онлайн, 1-на-1.",False,,False,,True,online,True,individual_lessons,False,False,,,,online,individual_lessons,True
individual_lessons_foton.prices.lesson_45min,foton,"Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.",False,,False,,False,,True,individual_lessons,False,True,числовой факт (риск расхождения между брендами),,,,individual_lessons,True
individual_lessons_foton.prices.package_5_sessions,foton,"Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.",False,,False,,False,,True,individual_lessons,False,True,числовой факт (риск расхождения между брендами),,,,individual_lessons,True
individual_lessons_foton.prices.session_90min,foton,"Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.",False,,False,,False,,True,individual_lessons,False,True,числовой факт (риск расхождения между брендами),,,,individual_lessons,True
installment.client_safe_text.when_asked,foton,"В Фотоне можно оплатить обучение частями: доступны варианты на 6, 10 или 12 меся",False,,False,,True,"online,offline",True,installment,False,False,,,,"online,offline",installment,True
installment.provider,foton,Фотон: рассрочка оформляется через Т-Банк; перед ответом клиенту менеджер провер,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.refresh_frequency,foton,Фотон: условия рассрочки через Т-Банк нужно обновлять и перепроверять минимум ра,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.dolyami.applies_to_all_foton_products,foton,Фотон: рассрочка и оплата — да.,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.dolyami.available,foton,Фотон: рассрочка и оплата — да.,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.dolyami.products_scope_client_safe,foton,"Фотон: рассрочка и оплата — Продукты Фотона: очные и онлайн-курсы, ЛВШ, ЛШ и дру",False,,False,,True,"online,offline",True,installment,False,False,,,,"online,offline",installment,True
installment.services.rassrochka.applies_to_all_foton_products,foton,Фотон: рассрочка и оплата — да.,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.rassrochka.decision_time,foton,Фотон: предварительное решение по рассрочке обычно занимает 1-2 минуты; перед об,False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.rassrochka.no_interest_for_client,foton,"Фотон: рассрочка указана как вариант без переплаты для клиента, но условия нужно",False,,False,,False,,True,installment,False,False,,,,,installment,True
installment.services.rassrochka.signing,foton,Фотон: подписание документов по рассрочке проходит по СМС.,False,,False,,False,,True,installment,False,False,,,,,installment,True
intensives_2026.ege_intensive.available_in_foton,foton,Фотон: этот интенсив в текущем бренде не проводится.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.ege_intensive.bot_behavior_when_asked,foton,Фотон: по вопросу об интенсиве менеджер подберёт подходящие варианты и свяжется ,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.classes,foton,Фотон: интенсив 2026 рассчитан на 8-9 классы.,True,8-9,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,8-9,,,intensives_2026,True
intensives_2026.oge_foton.duration_weeks,foton,Фотон: длительность интенсива 2026 — 7 недель.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.format,foton,"Фотон: интенсивы 2026 — онлайн, 2 занятия/нед после 18:00.",False,,False,,True,online,True,intensives_2026,False,True,экзамен/интенсив,,,online,intensives_2026,True
intensives_2026.oge_foton.group_size,foton,Фотон: размер группы на интенсиве 2026 — 10-15 человек.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.1,foton,Фотон: в интенсив 2026 входит: 14 вебинаров.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.2,foton,Фотон: в интенсив 2026 входит: Проверка ДЗ куратором.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.3,foton,Фотон: в интенсив 2026 входит: Конспекты.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.4,foton,Фотон: в интенсив 2026 входит: 3 пробника.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.5,foton,Фотон: в интенсив 2026 входит: Чат.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.6,foton,Фотон: в интенсив 2026 входит: Психподдержка.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.includes.7,foton,Фотон: в интенсив 2026 входит: Записи до конца июня.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.links.math,foton,Фотон: интенсивы 2026 — https://my.mts-link.ru/course-info/2018411.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.links.physics,foton,Фотон: интенсивы 2026 — https://my.mts-link.ru/course-info/2019323.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.start_date,foton,"Фотон: интенсивы 2026, дата старта — 13 апреля 2026.",False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
intensives_2026.oge_foton.subjects.1,foton,Фотон: среди предметов интенсива 2026 есть математика.,False,,True,математика,False,,True,intensives_2026,False,True,экзамен/интенсив,,математика,,intensives_2026,True
intensives_2026.oge_foton.subjects.2,foton,Фотон: среди предметов интенсива 2026 есть физика.,False,,True,физика,False,,True,intensives_2026,False,True,экзамен/интенсив,,физика,,intensives_2026,True
intensives_2026.oge_foton.vk_chat_9,foton,Фотон: интенсивы 2026 — https://vk.me/join/3nehyHq4QR7_Lvm89Iymtzn1NEZP51CDLYY=.,False,,False,,False,,True,intensives_2026,False,True,экзамен/интенсив,,,,intensives_2026,True
licenses.client_safe_summary,foton,Фотон: у учебного центра есть лицензия на образовательную деятельность.,False,,False,,False,,True,licenses,False,False,,,,,licenses,True
locations_foton.addresses.1.address,foton,"Фотон: адрес и место занятий — Верхняя Красносельская ул., 30.",False,,False,,False,,True,locations_foton,False,False,,,,,locations_foton,True
locations_foton.addresses.1.city,foton,Фотон: адрес и место занятий — Москва.,False,,False,,False,,True,locations_foton,False,False,,,,,locations_foton,True
locations_foton.addresses.1.metro,foton,Фотон: адрес и место занятий — Красносельская.,False,,False,,False,,True,locations_foton,False,False,,,,,locations_foton,True
locations_foton.free_trial_offline.offer,foton,Фотон: по бесплатному пробному очному занятию менеджер подскажет доступный вариа,False,,False,,True,offline,True,locations_foton,False,False,,,,offline,locations_foton,True
locations_foton.free_trial_offline_currently_unavailable_in_foton,foton,"Фотон: адрес и место занятий, очно — да.",False,,False,,True,offline,True,locations_foton,False,False,,,,offline,locations_foton,True
lvsh_mendeleevo_2026.accommodation.air_conditioning,foton,Фотон: в ЛВШ Менделеево по текущим данным есть кондиционирование.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.accommodation.meals_description,foton,"Фотон: ЛВШ Менделеево — Шведский стол, ресторанный уровень.",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.accommodation.meals_per_day,foton,Фотон: в ЛВШ Менделеево предусмотрено 5 приёмов пищи в день.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.accommodation.room_capacity,foton,Фотон: ЛВШ Менделеево — 2-3 человека.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.accommodation.security_24_7,foton,Фотон: ЛВШ Менделеево — да.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.audience,foton,Фотон: ЛВШ Менделеево — 5-10 класс.,True,5-10,False,,False,,True,lvsh_mendeleevo_2026,False,True,лагерь/смена с датой или возрастом,5-10,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.fizmat.classes,foton,Фотон: ЛВШ Менделеево для физико-математического направления рассчитана на 5-10 ,True,5-10,True,"математика,физика",False,,True,lvsh_mendeleevo_2026,False,False,,5-10,"математика,физика",,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.fizmat.subjects.1,foton,Фотон: в ЛВШ Менделеево для физико-математического направления есть предмет «физ,False,,True,"математика,физика",False,,True,lvsh_mendeleevo_2026,False,False,,,"математика,физика",,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.fizmat.subjects.2,foton,Фотон: в ЛВШ Менделеево для физико-математического направления есть предмет «мат,False,,True,"математика,физика",False,,True,lvsh_mendeleevo_2026,False,False,,,"математика,физика",,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.it.classes,foton,Фотон: ЛВШ Менделеево для IT-направления рассчитана на 7-10 классы.,True,7-10,False,,False,,True,lvsh_mendeleevo_2026,False,False,,7-10,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.it.subjects.1,foton,Фотон: в ЛВШ Менделеево для IT-направления есть предмет «Python».,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.directions.it.subjects.2,foton,Фотон: в ЛВШ Менделеево для IT-направления есть предмет «проектная деятельность»,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.documents_for_shift.client_safe_text,foton,"Перед сменой понадобятся договор, анкета и согласия, копия документа ребёнка, ко",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.documents_for_shift.manager_should_send_full_list,foton,Фотон: ЛВШ Менделеево — да.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.location.address,foton,"Фотон: ЛВШ Менделеево — Московская область, Солнечногорский район, посёлок Красн",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.location.name,foton,"Фотон: ЛВШ Менделеево, название — УСК «Менделеево».",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.parent_visit_and_communication.client_safe_text,foton,Связаться с ребёнком можно; для 5-6 классов телефоны забирают с 23:00 до 14:00. ,True,5-6,False,,False,,True,lvsh_mendeleevo_2026,False,True,лагерь/смена с датой или возрастом,5-6,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.payment_options_2026.client_safe_text,foton,"Для ЛВШ Фотона доступны варианты оплаты частями на 6, 10 или 12 месяцев, а также",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.pricing_2026.client_safe_text_when_price_asked,foton,Фотон: ЛВШ Менделеево — ЛВШ Менделеево у Фотона сейчас стоит 93 100 ₽. Полная ст,False,,False,,False,,True,lvsh_mendeleevo_2026,False,True,числовой факт (риск расхождения между брендами),,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.pricing_2026.current_price,foton,Фотон: ЛВШ Менделеево — 93 100 ₽.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,True,числовой факт (риск расхождения между брендами),,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.pricing_2026.main_full,foton,Фотон: полная стоимость ЛВШ Менделеево — 98 000 ₽.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,True,числовой факт (риск расхождения между брендами),,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.program.daily_pairs,foton,"Фотон: ЛВШ Менделеево, пар в день — 3 пары.",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.program.group_size,foton,Фотон: размер группы в ЛВШ Менделеево — 12-15 человек.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.program.pair_duration_minutes,foton,"Фотон: ЛВШ Менделеево, длительность пары — 110 минут.",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.program.total_academic_hours,foton,Фотон: ЛВШ Менделеево — 72+.,False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.transfer_from_moscow.available,foton,"Фотон: ЛВШ Менделеево, Москва — да.",False,,False,,False,,True,lvsh_mendeleevo_2026,False,False,,,,,lvsh_mendeleevo_2026,True
lvsh_mendeleevo_2026.transfer_from_moscow.client_safe_text,foton,Трансфер до ЛВШ Фотона включён в стоимость; ориентир места сбора — метро Ховрино,False,,False,,True,offline,True,lvsh_mendeleevo_2026,False,True,лагерь/смена с датой или возрастом,,,offline,lvsh_mendeleevo_2026,True
