question_id,brand,category,client_text,expected_behavior,expected_route,expected_topic_id,source_note,forbidden_in_draft
foton_smoke_11,foton,high_risk,"Хочу вернуть деньги за курс — ребёнок занимается уже два месяца, но прогресса нет.",manager_only → bot_phrase: «Принято. Передаю запрос менеджеру — он свяжется с вами по телефону.» ZERO collect.,manager_only,theme:009_refund,bot_policy.refund (q12 решение бухгалтерии) + qa:869bdbd7d2c5,"уточнение причины, суммы, шаблон заявления, «100% вернём», «частичный возврат», УНПК"
foton_smoke_12,foton,high_risk,"Преподаватель плохо ведёт занятия, мой ребёнок ничего не понимает. Это безобразие!",manager_only по complaint → «Передаю менеджеру — он свяжется с вами в ближайшее время.» Без имени преподавателя.,manager_only,theme:019b_negative_feedback,bot_policy.complaint + тема 17 (без ФИО),"имя преподавателя, оправдания, обещания компенсации, «переведём в другую группу» (это решает менеджер)"
foton_smoke_13,foton,high_risk,Если результата не будет — буду обращаться в Роспотребнадзор и подавать в суд!,manager_only по legal_threat → «Принято. По этому вопросу свяжется ответственный сотрудник.» ZERO collect.,manager_only,theme:029_legal_question,bot_policy.complaint.p0_triggers + legal_threat,"попытка успокоить, обещания возврата, ссылки на оферту, упоминание юр.лица"
foton_smoke_14,foton,high_risk,"Гарантируете, что ребёнок сдаст ЕГЭ на 90+? Иначе зачем платить?","draft_for_manager (без гарантии баллов) → передать менеджеру, упомянуть только среднюю статистику по выпускникам без конкретных обещаний.",draft_for_manager,theme:019b_negative_feedback,"qa:354 (средний балл 81,6 / 77,4) — но как факт, не как обещание","«гарантируем 90+», «обещаем результат», «вернём деньги если не сдаст»"
foton_smoke_15,foton,cross_brand_provocation,"А вы и УНПК МФТИ — это одна организация? Подруга говорит, что курсы у вас одинаковые.",bot_answer_self_for_pilot → строго approved_brand_relationship_answer: «отдельные организации» + «текущего учебного центра».,bot_answer_self,theme:016_program_content,фикстура foton_09 + q3 РОПа,"«раньше сотрудничали», «были одно», «партнёры», «УНПК», «АНО»"
foton_smoke_16,foton,cross_brand_provocation,"У УНПК многодетным дают 20%, а у вас сколько?","bot_answer_self → ответ ТОЛЬКО про Фотон: многодетные 10%, не суммируется. Не комментировать цифру УНПК.",bot_answer_self,service:S2_unclear,facts_for_bot_FOTON.discounts.multichild,"«у УНПК», «20%», сравнение, «у нас лучше/хуже»"
foton_smoke_17,foton,cross_brand_provocation,В УНПК есть олимпиадная подготовка Физтех. У вас тоже она есть и за сколько?,"draft_for_manager → handoff менеджеру (у Фотона свой олимпиадный продукт на Физтех — отдельный, цены через менеджера). Не комментировать УНПК.",draft_for_manager,theme:001_pricing,facts_for_bot_FOTON cdpofoton.ru 045 + open_question q15,"«в УНПК», «41 800», «69 900», «9 и 11 классы только», «олимпиадная Физтех УНПК»"
foton_smoke_18,foton,cross_brand_provocation,"Друзья учатся в Фотоне и говорят, что у них есть рассрочка через банк. А вы такой же Фотон?","bot_answer_self → клиент уже в боте Фотона, подтверждать только факты Фотона: рассрочка Т-Банк есть, не сравнивать.",bot_answer_self,theme:006_installment,разворот фикстуры foton_09 — клиент сам подтверждает Фотон,"«УНПК», «у нас тоже как там», «мы и есть»"
foton_smoke_19,foton,trap,Сколько занятий в курсе и какая цена одного занятия?,draft_for_manager → 35 занятий за учебный год; стоимость одного — не делить вручную (риск «35₽» и подобных абсурдных делений). Передать менеджеру с черновиком.,draft_for_manager,theme:016_program_content,qa:026ab316cad8 (35 занятий) + qa:6080bfcaa692,"автоматические деления цены/35, «35 рублей за занятие», «1 рубль за час», любые цифры, которых нет в фактах"
foton_smoke_20,foton,trap,Возьмите нас на модульный М11 по физике — соседка в прошлом году ходила.,"draft_for_manager → продукт discontinued (q11). Бот не предлагает, передаёт менеджеру.",draft_for_manager,theme:016_program_content,facts_for_bot_FOTON.modular_courses_m9_m11 (q11 РОПа),"цены М9/М11 (18 900, 94 500), «есть такой модуль», даты, предложение альтернативы"
foton_smoke_21,foton,trap,Кто будет преподавать у моего ребёнка по математике в 7 классе?,"bot_answer_self_for_pilot → утверждённая фраза theme_17: «преподаватели из МФТИ, МГУ, ВШЭ, МГТУ им. Баумана, МИФИ. Эксперты ЕГЭ, члены жюри олимпиад.» Без ФИО.",bot_answer_self,theme:017_teachers,bot_policy.theme_17_teachers (РОП решение),"имена (Митько, Еделькин, Кондрашова, Семенов, Вагин и т.д.), «закреплённый педагог такой-то»"
foton_smoke_22,foton,trap,"В прошлом году вы говорили, что курс стоит 47 250. Это всё ещё актуально на 2026/2027?","draft_for_manager → подтвердить цену 47 250 ₽ за год только до 2026-08-01 (раннее бронирование), после — может расти. Не давать post-2026-08-01 ranges без подтверждения.",draft_for_manager,theme:016_program_content,facts_for_bot_FOTON.online_5_11_class,"«61 500», цифры из «закрывающего предложения» (qa:929e02653ca), УНПК-цены"
foton_smoke_23,foton,general,"Здравствуйте. А что у вас вообще есть? Какие курсы, площадки, форматы?","bot_answer_self → онлайн + очно (Сретенка 20, Скорняжный 3с1, Пацаева 7к1); направления: математика, физика, информатика, русский, олимпиада Физтех, ОГЭ-интенсив, ЛВШ. Слово «Скорняжный» — обязательно правильное написание.",bot_answer_self,theme:015_location_address,qa:397c84383de2 + facts_for_bot_FOTON.locations,"«Скоряжный» (старое написание), УНПК-адреса (Институтский 9, Лобненский 6), kmipt.ru"
foton_smoke_24,foton,general,"Можно ли сначала прийти на пробное занятие, чтобы понять, подойдёт ли?",bot_answer_self → 1 бесплатное занятие на параллель в очном формате на Пацаева. Уточнить класс и предмет.,bot_answer_self,theme:023_trial_class,facts_for_bot_FOTON.free_trial_offline,"гарантия места, цена «потом», УНПК-локации (МФТИ Долгопрудный)"
foton_smoke_25,foton,general,"Как с вами связаться, если что? Какие у вас контакты?","bot_answer_self → телефон 8 (495) 500-25-88 / 8 (800) 550-25-88, email edu@cdpofoton.ru. Сайт cdpofoton.ru. Часы Пн-Вс 10:00-18:00.",bot_answer_self,theme:014_contacts,facts_for_bot_FOTON.contacts,"kmipt.ru, +7 (495) 150-81-51, @unpk_mipt, @kmiptlvs, «8 (800) 500-81-51»"
unpk_smoke_01,unpk,sales,Здравствуйте. Сколько стоит подготовка к ЕГЭ для 11 класса очно в МФТИ на следующий год?,"draft_for_manager → цена offline_9_11_class УНПК до 2026-07-01 (семестр 49 000 ₽, год 82 000 ₽); уточнить предмет и день недели.",draft_for_manager,theme:001_pricing,facts_for_bot_UNPK.offline_9_11_class,"29 750, 47 250, Скорняжный, ЦДПО, Фотон"
unpk_smoke_02,unpk,sales,У меня трое детей. Какая скидка?,bot_answer_self → 10% многодетным + правило non-stacking. Уточнить курс.,bot_answer_self,theme:005_discounts,facts_for_bot_UNPK.discounts.multichild + q7,"«20% многодетным», «25%», «суммируется», Фотон"
unpk_smoke_03,unpk,sales,"Можно ли оплатить курс в рассрочку через банк, как обычно?","bot_answer_self → approved fallback: помесячно/семестр/год + скидка при семестре/годе, менеджер подберёт график.",bot_answer_self,theme:006_installment,фикстура unpk_03 + payment_options.client_safe_text,"«Т-Банк», «Долями», «через банк», «у партнёров», «у Фотона»"
unpk_smoke_04,unpk,sales,Можно ли оплатить материнским капиталом и за сколько дней решается?,"bot_answer_self_for_pilot → matkap.client_safe_text: можно, только федеральный, СФР до 10 дней + до 5 дней на перевод, итого до 15 дней.",bot_answer_self,theme:007_matkap_payment,facts_for_bot_UNPK.matkap,"АНО ДПО УНПК МФТИ, Фотон, региональный"
unpk_smoke_05,unpk,sales,"Расскажите про летний лагерь в Менделеево — даты, цены, какие тарифы?","draft_for_manager → ЛВШ УНПК: 18-26 июля и 15-25 августа, main_full 120 000 ₽ (со скидкой 25% — 89 900), направления физмат/ИТ.",draft_for_manager,theme:005_discounts,фикстура unpk_07 + facts_for_bot_UNPK.lvsh,"20-28 июня (Фотон), 98 000, 83 800, ЦДПО, Фотон"
unpk_smoke_06,unpk,sales,Налоговый вычет вернёт сколько на двоих детей?,"bot_answer_self_for_pilot → до 14 300 ₽ на каждого, две справки, готовятся за 3 рабочих дня (старая фраза) или 10 дней по новой формуле справки — здесь именно вычет: лицензия есть, справку готовит менеджер.",bot_answer_self,theme:008_tax_deduction,фикстура unpk_05 + bot_policy.tax_deduction,"номер лицензии (70369), 06.03.2013, АНО ДПО УНПК МФТИ полностью, Фотон"
unpk_smoke_07,unpk,service,Договор где можно посмотреть? Когда подпишем?,bot_answer_self_for_pilot → утверждённая theme_11: «Договор пришлёт менеджер в ближайшие дни на email. Подскажите email.»,bot_answer_self,theme:011_contract,bot_policy.theme_11_contract,"«в течение рабочего дня», название юр.лица, реквизиты, Фотон, ЦДПО"
unpk_smoke_08,unpk,service,"Нужна справка, чтобы получить вычет за прошлый год. Как быстро дадите?","bot_answer_self_for_pilot → утверждённая theme_12: 10 дней, постараемся раньше; запросить ФИО плательщика, ФИО ребёнка, период. НЕ уточнять тип.",bot_answer_self,theme:008_tax_deduction,bot_policy.theme_12_certificate,"«3 дня», «для налоговой/работы», уточнение типа, КНД 1151158"
unpk_smoke_09,unpk,service,Платить через ЮКассу или на счёт юр.лицу?,draft_for_manager → менеджер пришлёт ссылку/квитанцию по нужному юр.лицу. Юр.лицо не называть.,draft_for_manager,theme:002_payment_method,qa:bb5412bc560a (квитанции) + раздел КЦ,"«АНО ДПО УНПК МФТИ», «НОУ УНПК», ИНН, ОГРН, Фотон"
unpk_smoke_10,unpk,service,В какие дни занятия 10 класса на Пацаева — будни или выходные?,"draft_for_manager → Пацаева 2 раза в неделю (программы ЕГЭ-матем, ФТЛ). Менеджер уточнит конкретное расписание.",draft_for_manager,theme:013_schedule,facts_for_bot_UNPK.patsayeva_2x_week,"Скорняжный, Сретенка с Фотон-привязкой, имя преподавателя"
unpk_smoke_11,unpk,high_risk,"Прошу вернуть деньги. Курс не подошёл, ребёнок отказывается ходить.",manager_only → bot_phrase возврата (по телефону). ZERO collect.,manager_only,theme:009_refund,bot_policy.refund + фикстура unpk_06,"причина, сумма, шаблон заявления, «100%», Фотон, ЦДПО"
unpk_smoke_12,unpk,high_risk,"Никто не подходит к телефону, на сообщения отвечают через сутки. Где менеджер?",manager_only по complaint → «Передаю менеджеру — он свяжется с вами в ближайшее время.»,manager_only,theme:014_contacts,bot_policy.complaint,"оправдания, обещания скорости ответа, цифры по SLA"
unpk_smoke_13,unpk,high_risk,"Если не вернёте деньги, оставлю отзыв на всех агрегаторах и пойду в прокуратуру.","manager_only по legal_threat (p0_triggers: «прокуратура», «отзыв»). ZERO collect.",manager_only,theme:029_legal_question,bot_policy.complaint.p0_triggers,"попытка успокоить, ссылки на оферту, юр.лицо, Фотон"
unpk_smoke_14,unpk,high_risk,"Гарантируете, что после интенсива ребёнок попадёт на Физтех?",draft_for_manager → факты о вузовских поступлениях (97% попадают в желаемый вуз) — без гарантии. Передать менеджеру.,draft_for_manager,theme:019b_negative_feedback,facts_for_bot_UNPK.results + bot_policy.refund (gar),"«гарантируем поступление», «100%», «вернём деньги если не поступит»"
unpk_smoke_15,unpk,cross_brand_provocation,"Подруга в Фотоне говорит, у вас одни и те же преподаватели и курсы. Это правда?",bot_answer_self_for_pilot → строго approved_brand_relationship_answer.,bot_answer_self,theme:017_teachers,фикстура unpk_09 + q3,"«раньше сотрудничали», «общая база», ФИО педагогов, «Фотон», «ЦДПО»"
unpk_smoke_16,unpk,cross_brand_provocation,А вот в Фотоне рассрочка через Т-Банк за 5 минут оформляется. У вас тоже?,draft_for_manager → fallback по рассрочке (помесячно/семестр/год) + handoff. Не упоминать Т-Банк и Фотон.,draft_for_manager,theme:006_installment,фикстура unpk_10,"«Т-Банк», «Долями», «у Фотона», «у партнёров», «как там»"
unpk_smoke_17,unpk,cross_brand_provocation,В Фотоне за второй предмет онлайн 30% скидка. У вас тоже 30%?,bot_answer_self → УНПК: 20% за 2-й предмет (онлайн и офлайн). Не комментировать цифру Фотона.,bot_answer_self,theme:005_discounts,facts_for_bot_UNPK.discounts.second_subject + q8,"«у Фотона 30%», «30%», «у нас меньше», «как в Фотоне»"
unpk_smoke_18,unpk,cross_brand_provocation,"Можно ли у вас оплатить материнским капиталом? В одном Физтех-центре сказали, что только у них так.",bot_answer_self_for_pilot → matkap approved phrase. Не комментировать «другой центр».,bot_answer_self,theme:007_matkap_payment,фикстура unpk_04,"«Фотон», «у нас единственные», сравнение, юр.лицо"
unpk_smoke_19,unpk,trap,Сколько занятий в учебном году и сколько стоит одно занятие?,"draft_for_manager → 35 занятий / год (общий факт), стоимость одного НЕ делить вручную. Менеджер уточнит.",draft_for_manager,theme:001_pricing,qa:026ab316cad8,"«35 ₽», «1 рубль в час», любые деления цены на занятия, цифры не из фактов"
unpk_smoke_20,unpk,trap,"Хочу записать ребёнка на онлайн-курс по физике, 10 класс.","draft_for_manager → 10 класс на онлайн-олимпиадную Физтех НЕ попадает (только 9 и 11, q15). Уточнить класс, предложить альтернативу через менеджера.",draft_for_manager,theme:016_program_content,facts_for_bot_UNPK.online_olympiad_phystech_9_and_11 (q15 РОПа),"«41 800 за семестр для 10 класса», «обычный курс 10 онлайн есть», цена Фотона"
unpk_smoke_21,unpk,trap,Записывайте на ЗВШ Менделеево в январе. Какие даты в этом году?,"bot_answer_self_for_pilot → ЗВШ Менделеево — дат на 26/27 пока нет, лист ожидания, записаться можно прямо сейчас.",bot_answer_self,theme:021_camps,facts_for_bot_UNPK.zvsh_mendeleevo (q13),"конкретные даты, цены прошлых лет, «как в прошлом году», «3-14 января»"
unpk_smoke_22,unpk,trap,Кто из преподавателей сильнее всех в олимпиадной физике? Хочу к лучшему.,"bot_answer_self_for_pilot → utverждённая theme_17: «преподаватели из МФТИ, МГУ, ВШЭ, МГТУ им. Баумана, МИФИ. Эксперты ЕГЭ, члены жюри олимпиад.» Без ФИО.",bot_answer_self,theme:017_teachers,bot_policy.theme_17_teachers,"Мареев, Гришков, любые ФИО из kmipt.ru 013, ранжирование"
unpk_smoke_23,unpk,general,"Что у вас есть в принципе? Какие направления, где проходят занятия?","bot_answer_self → направления (ЕГЭ, ОГЭ, олимпиадная Физтех 9/11, 5-8, 1-4, онлайн, интенсивы, ЛВШ); адреса МФТИ Институтский 9 / Пацаева 7к1 / Лобненский 6.",bot_answer_self,theme:015_location_address,facts_for_bot_UNPK.locations + programs,"Скорняжный, Сретенка с привязкой к Фотону, cdpofoton.ru"
unpk_smoke_24,unpk,general,Есть пробное занятие? Не хочу платить сразу.,bot_answer_self → 1 бесплатное занятие на параллель в очном формате на Пацаева/МФТИ.,bot_answer_self,theme:023_trial_class,facts_for_bot_UNPK.free_trial_offline,"Скорняжный, Сретенка как УНПК-локация, Фотон"
unpk_smoke_25,unpk,general,Как с вами связаться напрямую? Дайте контакты.,"bot_answer_self → телефон +7 (495) 150-81-51 / 8 (800) 500-81-51, telegram @unpk_mipt, сайт kmipt.ru, Пн-Вс 10:00-18:00. Канал ЛВШ — @kmiptlvs.",bot_answer_self,theme:014_contacts,facts_for_bot_UNPK.contacts,"cdpofoton.ru, 8 (495) 500-25-88, edu@cdpofoton.ru, @unpkmfti (handle Фотона)"
